E_peak,beta,sigma,beta_Rel,number,anomaly,anomaly_score
2.5129,0.0897,7.3996,1.6309921962095877,0,-1,-349.22559301610033
1.4782,0.4163,5.415,0.7708383377372088,1,-1,-349.2255930157711
1.5964,0.6783,10.7909,0.3712221730797582,2,-1,-349.22559301610033
0.93095,0.2771,7.6056,0.6286539155539516,3,-1,-349.22559301610033
0.4448,0.3207,4.2748,0.5675085749922045,4,-1,-349.2255171652174
0.51449,0.103,4.8184,1.1155339805825244,5,-1,-349.2255929281657
0.055744,0.2058,5.49,0.8182701652089407,6,-1,-349.2255930157896
0.36339,0.1515,6.8421,0.8825082508250827,7,-1,-349.22559301610033
0.51802,0.4402,8.9575,0.3884597910040891,8,-1,-349.22559301610033
0.40093,0.2463,4.4725,0.7722289890377589,9,-1,-349.2255853497385
0.067157,0.0751,8.5289,0.9813581890812252,10,-1,-349.22559301610033
0.80962,0.0173,7.3434,4.283236994219653,11,-1,-349.22559301610033
3.1638,0.199,7.0517,0.8195979899497486,12,-1,-349.22559301610033
0.060414,0.0075,5.3969,13.013333333333335,13,-1,-349.22559301610033
1.404,0.6046,6.3435,0.5332451207409857,14,-1,-349.22559301610033
6.8748,0.1205,5.3665,1.0473029045643154,15,-1,-349.2255930160971
0.87529,0.209,8.7518,0.5,16,-1,-349.22559301610033
104.25,0.0485,5.3962,2.402061855670103,17,-1,-349.22559301610033
0.026676,0.0601,4.2883,2.1547420965058235,18,-1,-349.2255929947791
1.7016,0.5332,21.1933,0.205926481620405,19,-1,-349.22559301610033
0.00021971,0.016,4.9956,6.137499999999999,20,-1,-349.22559301610033
6.9674,0.0494,6.8904,1.7489878542510122,21,-1,-349.22559301610033
1.5868,0.3982,14.4809,0.361878453038674,22,-1,-349.22559301610033
0.58574,0.2364,7.0286,0.7136209813874788,23,-1,-349.22559301610033
11.133,0.5162,4.292,0.6652460286710578,24,-1,-349.2255930160804
47.489,0.3704,7.3768,0.4646328293736501,25,-1,-349.22559301610033
0.00041469,0.033,4.8986,2.3757575757575755,26,-1,-349.22559301608885
0.30009,0.2373,13.9413,0.3383902233459755,27,-1,-349.22559301610033
3.9697,0.1,5.6163,1.227,28,-1,-349.22559301609886
6.1427,0.7739,5.4138,0.3990179609768704,29,-1,-349.2255930160955
6.9046,0.396,6.7401,0.6166666666666666,30,-1,-349.22559301610033
0.1408,0.0687,4.2632,2.828238719068413,31,-1,-349.2255930159516
1.2787,0.3421,5.1534,0.8050277696579946,32,-1,-349.22559301007936
10.804,0.3954,5.5429,3.982043500252909,33,-1,-349.22559301610033
0.37253,0.7563,7.5858,0.2620653179955044,34,-1,-349.22559301610033
1.9488,0.4975,4.414,0.6840201005025125,35,-1,-349.22558849883404
21.26,0.2051,4.4404,1.0185275475377864,36,-1,-349.22559301610033
0.28652,0.0864,7.8284,1.8159722222222223,37,-1,-349.22559301610033
0.23882,0.4794,8.7836,0.4549436795994994,38,-1,-349.22559301610033
0.272,0.0598,4.1455,2.3561872909698995,39,-1,-349.2255929990156
2.1891,0.6365,10.4668,0.4205813040062844,40,-1,-349.22559301610033
9.3339,0.1988,6.9161,0.7067404426559357,41,-1,-349.22559301610033
0.53966,0.5065,5.0722,0.5194471865745312,42,-1,-349.22559297352853
0.0090845,0.0633,5.1091,1.7156398104265405,43,-1,-349.22559301596345
23.535,0.0512,6.3117,2.0234375,44,-1,-349.22559301610033
13.794,0.6501,4.1528,0.9636978926319026,45,-1,-349.22559301610033
7.3321,0.1229,9.5607,0.6427990235964199,46,-1,-349.22559301610033
0.11622,0.4861,4.275,0.6218885003085786,47,-1,-349.2255574128956
3.0313,0.0556,7.1591,1.327338129496403,48,-1,-349.22559301610033
0.55735,0.2999,9.5115,0.3471157052350783,49,-1,-349.22559301610033
0.45476,0.0818,5.3428,1.6784841075794623,50,-1,-349.2255930160887
0.041636,0.0922,5.4427,1.009761388286334,51,-1,-349.2255930158507
1.2163,0.3705,43.5448,0.124966261808367,52,-1,-349.22559301610033
8.3061,0.3546,4.2168,0.9715172024816692,53,-1,-349.22559300840715
18.49,0.147,5.1405,1.0272108843537415,54,-1,-349.22559301610033
6.0208,0.1296,5.021,1.0262345679012346,55,-1,-349.2255930157413
0.16389,0.1141,6.0511,1.1910604732690622,56,-1,-349.2255930161003
18.371,0.9911,4.2564,0.1519523761477146,57,-1,-349.22559301610033
0.46869,0.4022,10.4705,0.3575335653903531,58,-1,-349.22559301610033
1.8193,0.5178,20.9039,0.2217072228659714,59,-1,-349.22559301610033
0.39142,0.2231,4.4495,0.6190049305244285,60,-1,-349.2255728920708
0.42538,0.1386,4.1247,1.3658008658008658,61,-1,-349.2255837523146
1.5818,0.4465,4.1471,0.7740201567749161,62,-1,-349.22555570186216
13.769,0.5035,9.6361,0.4589870903674281,63,-1,-349.22559301610033
6.6083,0.8501,4.2401,0.85260557581461,64,-1,-349.22559300573386
0.26272,0.1671,4.7355,1.4087372830640337,65,-1,-349.2255929850942
2.1508,0.1168,16.8691,0.5291095890410958,66,-1,-349.22559301610033
6.4615,0.1658,7.0131,0.7515078407720145,67,-1,-349.22559301610033
0.001514,0.0609,5.124,1.4827586206896552,68,-1,-349.225593015561
2.477,0.5853,5.354,0.658294891508628,69,-1,-349.22559301573
29.856,0.3752,4.08,1.474946695095949,70,-1,-349.22559301610033
1.3024,0.6027,19.637,0.2020905923344947,71,-1,-349.22559301610033
13.594,0.1827,6.0771,0.7668308702791462,72,-1,-349.22559301610033
0.00038,0.0641,4.584,2.031201248049922,73,-1,-349.22559301280506
0.10933,0.1182,4.9814,0.9213197969543148,74,-1,-349.2255929655316
0.83632,0.4803,4.0556,0.5463252134082865,75,-1,-349.225357931032
0.9815,0.1991,5.2499,0.9482672024108488,76,-1,-349.22559301433097
12.476,0.0724,4.689,1.8825966850828728,77,-1,-349.22559301610033
0.047584,0.1064,6.1951,0.8524436090225564,78,-1,-349.2255930161003
0.87805,0.4832,10.1015,0.3313327814569536,79,-1,-349.22559301610033
0.45868,0.6221,7.7579,0.243529979103038,80,-1,-349.22559301610033
13.638,0.0743,4.4748,1.5302826379542394,81,-1,-349.22559301610033
1.6586,0.0617,5.6909,2.00162074554295,82,-1,-349.22559301610033
1.6143,0.3588,28.0187,0.1953734671125975,83,-1,-349.22559301610033
0.099917,0.0785,5.6633,1.1617834394904458,84,-1,-349.2255930160923
0.18204,0.5867,28.8993,0.1165842849838077,85,-1,-349.22559301610033
0.27256,0.131,6.6336,0.933587786259542,86,-1,-349.22559301610033
2.8215,0.0521,8.5078,1.476007677543186,87,-1,-349.22559301610033
0.1098,0.1311,5.0649,0.855072463768116,88,-1,-349.2255929864634
0.70925,0.9515,5.0502,0.3048870204939569,89,-1,-349.2255929890214
0.60093,0.7372,6.4752,0.3151112316874661,90,-1,-349.22559301610033
2.9174,0.1064,5.9987,1.0968045112781954,91,-1,-349.2255930161003
8.162,0.6502,5.6279,0.5547523838818825,92,-1,-349.22559301610033
0.53482,0.8313,6.4382,0.3427162275953326,93,-1,-349.22559301610033
0.010104,0.0771,8.1483,1.0985732814526588,94,-1,-349.22559301610033
39.444,0.0137,4.5422,6.54014598540146,95,-1,-349.22559301610033
8.2624,0.112,6.6117,1.032142857142857,96,-1,-349.22559301610033
1.0193,0.9819,13.2041,0.1181383032895407,97,-1,-349.22559301610033
1.5446,0.3223,27.6206,0.1886441203847347,98,-1,-349.22559301610033
1.6268,0.4661,7.6396,0.5721948079811199,99,-1,-349.22559301610033
0.38155,0.4241,25.222,0.1492572506484319,100,-1,-349.22559301610033
0.025961,0.1263,10.6014,0.7640538400633413,101,-1,-349.22559301610033
0.17789,0.2687,5.1334,0.5042798660215855,102,-1,-349.22559295930284
0.39739,0.4702,6.8637,0.4472564866014462,103,-1,-349.22559301610033
3.1757,0.4807,7.7449,0.5331807780320366,104,-1,-349.22559301610033
0.8483,0.2241,10.5626,0.4457831325301205,105,-1,-349.22559301610033
13.893,0.1439,11.8161,0.6108408617095206,106,-1,-349.22559301610033
0.086545,0.0447,4.5811,3.185682326621924,107,-1,-349.2255930161
0.19796,0.2265,5.9152,0.4856512141280353,108,-1,-349.2255930160865
0.40431,0.0873,4.3322,2.049255441008018,109,-1,-349.2255929894946
0.34322,0.3537,4.2845,0.5552728300819904,110,-1,-349.2255254784164
0.49939,0.2151,7.4908,0.6313342631334263,111,-1,-349.22559301610033
0.32826,0.3203,6.9258,0.5151420543240712,112,-1,-349.22559301610033
0.36053,0.2299,6.0472,0.5163114397564158,113,-1,-349.22559301609806
7.0777,0.2223,6.8287,0.7737291947818263,114,-1,-349.22559301610033
8.1597,0.5868,4.0586,0.6567825494205862,115,-1,-349.2255929874002
3.8405,0.7759,9.2984,0.4044335610259054,116,-1,-349.22559301610033
3.3729e-06,0.0212,4.6257,4.8915094339622645,117,-1,-349.22559301610033
5.5827,0.44,5.5799,0.5179545454545454,118,-1,-349.22559301609607
1.6929,0.3995,41.8525,0.1361702127659574,119,-1,-349.22559301610033
1.2003,0.5305,7.6243,0.55626767200754,120,-1,-349.22559301610033
0.057105,0.1161,5.7575,0.9371231696813092,121,-1,-349.22559301609124
3.6172,0.0821,8.3018,1.1887941534713764,122,-1,-349.22559301610033
0.26898,0.1781,5.0611,0.7259966311061201,123,-1,-349.22559296527675
0.32607,0.0323,25.216,0.5386996904024767,124,-1,-349.22559301610033
0.4887,0.5321,4.8191,0.529599699304642,125,-1,-349.22559260594284
71.17,0.003,23.2474,5.266666666666668,126,-1,-349.22559301610033
0.048244,0.138,4.1431,0.9253623188405796,127,-1,-349.2255120406209
0.91082,0.7123,13.647,0.2309420188122981,128,-1,-349.22559301610033
0.2142,0.2125,5.1338,0.6103529411764707,129,-1,-349.22559297651014
0.69383,0.2558,7.4954,0.6196247068021892,130,-1,-349.22559301610033
0.56403,0.3349,4.6999,0.7357420125410571,131,-1,-349.2255921302566
3.5247,0.9318,5.0413,0.6382270873578021,132,-1,-349.22559301511217
0.090608,0.1285,4.9909,0.9214007782101168,133,-1,-349.2255929714598
0.83716,0.3107,7.2748,0.4776311554554233,134,-1,-349.22559301610033
1.0096,0.0741,5.078,1.5856950067476383,135,-1,-349.2255930157309
0.95302,0.3488,13.6926,0.3922018348623853,136,-1,-349.22559301610033
26.289,0.3698,5.2616,0.9899945916711737,137,-1,-349.22559301610033
0.045933,0.0652,4.5577,1.5613496932515338,138,-1,-349.2255929222438
0.92971,0.8815,5.7967,0.2856494611457743,139,-1,-349.2255930160816
0.0054752,0.0166,12.1572,3.86144578313253,140,-1,-349.22559301610033
0.12958,0.1449,4.9232,0.8812974465148379,141,-1,-349.22559291408936
0.01165,0.0606,4.2092,2.201320132013201,142,-1,-349.22559298544405
2.5657,0.2847,23.5802,0.2276080084299262,143,-1,-349.22559301610033
0.038195,0.0229,6.4121,3.0262008733624453,144,-1,-349.22559301610033
0.3062,0.4238,4.6307,0.4646059462010382,145,-1,-349.22558856153347
11.498,0.34,9.0474,0.5352941176470588,146,-1,-349.22559301610033
1.0074,0.4088,5.5943,0.4417808219178082,147,-1,-349.2255930157477
0.40471,0.7749,8.07,0.2639050200025809,148,-1,-349.22559301610033
0.52525,0.8637,5.0144,0.3196711821234225,149,-1,-349.22559296379717
3.4862,0.2133,6.7741,1.0089076418190344,150,-1,-349.22559301610033
0.50915,0.0848,6.0535,1.311320754716981,151,-1,-349.22559301610033
0.52896,0.4666,7.459,0.3516930990141448,152,-1,-349.22559301610033
1.3365,0.2918,8.8998,0.5054832076764907,153,-1,-349.22559301610033
0.68128,0.8136,5.3141,0.5951327433628318,154,-1,-349.2255930153093
1.0071,0.3412,5.6148,0.7236225087924971,155,-1,-349.2255930160286
0.79125,0.4857,7.5484,0.3928350833848054,156,-1,-349.22559301610033
0.53928,0.5247,6.5808,0.3413379073756432,157,-1,-349.22559301610033
2.6224,0.2945,4.2954,1.0431239388794566,158,-1,-349.22559006871165
0.73186,0.1936,4.1205,0.922004132231405,159,-1,-349.22551943111864
0.4587,0.6863,5.2683,0.5861867987760454,160,-1,-349.22559301383245
2.1716e-05,0.0262,5.034,2.6335877862595423,161,-1,-349.2255930161
0.18913,0.4006,5.0247,0.5274588117823265,162,-1,-349.22559291837064
0.78304,0.3434,6.8182,0.3814793244030285,163,-1,-349.22559301610033
0.91884,0.0414,7.9599,1.3623188405797102,164,-1,-349.22559301610033
0.097034,0.1151,5.7827,0.788010425716768,165,-1,-349.22559301608425
21.34,1.0,4.3367,0.0038,166,-1,-349.22559301610033
0.81171,0.8196,5.536,0.3955588091752074,167,-1,-349.22559301587523
0.22218,0.2072,5.0151,0.8938223938223938,168,-1,-349.22559298481497
15.261,0.1651,5.0235,1.3113264688067838,169,-1,-349.22559301610033
2.686,0.2723,5.49,0.6210062431142123,170,-1,-349.2255930158459
31.027,0.0386,4.3604,2.8341968911917097,171,-1,-349.22559301610033
0.13411,0.2563,5.5749,1.1498244245025362,172,-1,-349.2255930160861
4.0982,0.0557,4.5631,2.490125673249551,173,-1,-349.2255930160729
0.5579,0.3848,4.5972,0.5062370062370063,174,-1,-349.22558761319965
0.24425,0.1354,6.2319,1.089364844903988,175,-1,-349.22559301610033
0.75374,0.4969,4.2607,0.6419802777218756,176,-1,-349.22556164151126
21.346,0.2861,7.7254,0.7612722824187347,177,-1,-349.22559301610033
0.0015468,0.0431,4.4246,2.8538283062645013,178,-1,-349.22559301607197
5.2069,0.5274,5.0266,0.6281759575274933,179,-1,-349.2255930151631
1.8223,0.3778,11.3705,0.4184753838009528,180,-1,-349.22559301610033
2.3843,0.2256,5.1794,0.8714539007092199,181,-1,-349.2255930134175
0.0099888,0.0526,4.4104,2.2281368821292773,182,-1,-349.2255930118406
1.2927,0.443,9.7702,0.4011286681715575,183,-1,-349.22559301610033
4.0431,0.4455,5.446,0.5539842873176206,184,-1,-349.2255930160026
3.0807,0.1373,7.7015,0.7742170429715951,185,-1,-349.22559301610033
0.78862,0.4276,5.4133,0.518709073900842,186,-1,-349.2255930144591
2.8787,0.0527,5.6878,2.03415559772296,187,-1,-349.22559301610033
0.366,0.3278,9.6007,0.335875533862111,188,-1,-349.22559301610033
1.7257,0.7893,9.131,0.3828708982642848,189,-1,-349.22559301610033
0.48137,0.4387,5.5031,0.8702986095281513,190,-1,-349.2255930160105
0.26201,0.3227,5.0675,0.6510691044313605,191,-1,-349.2255929716179
0.98004,0.287,8.0011,0.4895470383275262,192,-1,-349.22559301610033
0.23225,0.3411,6.1164,0.4165933743770155,193,-1,-349.22559301609897
11.639,0.9984,5.3881,0.0478766025641025,194,-1,-349.22559301610033
10.725,0.1537,11.8194,0.560832791151594,195,-1,-349.22559301610033
1.6799,0.2602,6.4967,0.765564950038432,196,-1,-349.22559301610033
0.2309,0.4105,5.4138,0.4903775883069428,197,-1,-349.2255930138811
0.3273,0.2783,13.1557,0.3564498742364355,198,-1,-349.22559301610033
0.85847,0.3025,28.6786,0.1831404958677686,199,-1,-349.22559301610033
0.22122,0.4024,4.2362,0.7477634194831014,200,-1,-349.22555637410636
1.7029,0.5027,9.56,0.4875671374577283,201,-1,-349.22559301610033
1.4324,0.1249,4.9027,1.0528422738190553,202,-1,-349.2255929776764
3.9001,0.0332,6.1032,3.1596385542168672,203,-1,-349.22559301610033
1.2309,0.4783,4.6544,0.6763537528747648,204,-1,-349.22559213032946
0.72931,0.4722,8.1637,0.4258788648877594,205,-1,-349.22559301610033
1.1935,0.3683,23.4414,0.1971219114852022,206,-1,-349.22559301610033
1.4888,0.6471,5.8179,0.660485241848246,207,-1,-349.2255930160972
0.68164,0.3424,6.5862,0.4891939252336449,208,-1,-349.22559301610033
5.4752,0.4543,7.1269,0.6110499669821704,209,-1,-349.22559301610033
0.0094408,0.05,4.8149,2.282,210,-1,-349.2255930160462
1.0661,0.6881,18.5074,0.2162476384246475,211,-1,-349.22559301610033
0.46851,0.338,5.1698,0.7701183431952662,212,-1,-349.2255930082334
0.042356,0.0879,6.0871,0.9726962457337884,213,-1,-349.2255930161002
34.987,0.1322,5.032,1.0597579425113464,214,-1,-349.22559301610033
0.27919,0.5608,7.3873,0.6112696148359487,215,-1,-349.22559301610033
1.0578,0.9745,6.0661,0.2077988712160082,216,-1,-349.2255930160995
8.2647,1.0,4.216,0.0166,217,-1,-349.22559301084254
0.0026881,0.0313,7.2298,2.5846645367412138,218,-1,-349.22559301610033
1.5977,0.3945,10.3229,0.6968314321926489,219,-1,-349.22559301610033
5.7073,0.2617,4.5729,1.1646923958731372,220,-1,-349.2255930065736
0.21927,0.4055,7.389,0.4818742293464857,221,-1,-349.22559301610033
0.099202,0.1015,4.6786,1.1763546798029556,222,-1,-349.22559276136525
2.486,0.9995,4.9467,0.0462231115557778,223,-1,-349.22559293479725
0.078015,0.2356,6.5185,0.6090831918505941,224,-1,-349.22559301610033
0.007733,0.0384,5.7203,3.052083333333333,225,-1,-349.22559301610033
2.8672,0.5295,18.0942,0.2430594900849858,226,-1,-349.22559301610033
0.41464,0.3515,6.306,0.4958748221906117,227,-1,-349.2255930161003
0.24175,0.2451,8.8409,0.4075887392900856,228,-1,-349.22559301610033
0.055124,0.1194,8.5685,0.7370184254606365,229,-1,-349.22559301610033
0.26416,0.1216,4.4551,1.268092105263158,230,-1,-349.22559193848053
0.28615,0.6738,7.8291,0.2132680320569902,231,-1,-349.22559301610033
0.4082,0.5503,7.684,0.3490823187352353,232,-1,-349.22559301610033
0.58789,0.7048,9.5201,0.3484676503972758,233,-1,-349.22559301610033
1.7199,0.4246,29.7908,0.1695713612812058,234,-1,-349.22559301610033
0.027718,0.0831,4.0858,2.0048134777376654,235,-1,-349.22559270128505
1.2377,0.1921,4.9548,0.9448204060385216,236,-1,-349.2255929806294
0.080944,0.1607,6.1195,0.5992532669570628,237,-1,-349.22559301609965
0.33485,0.1912,13.8406,0.3394351464435146,238,-1,-349.22559301610033
0.37169,0.3193,16.7294,0.2389602254932665,239,-1,-349.22559301610033
31.186,0.9991,4.4654,0.0525472925633069,240,-1,-349.22559301610033
0.25809,0.3017,6.734,0.4763009612197547,241,-1,-349.22559301610033
0.034653,0.0511,5.0277,1.5949119373776908,242,-1,-349.2255930153449
4.4312,0.0445,5.393,3.471910112359551,243,-1,-349.22559301610033
5.4087,0.0668,5.8482,1.4580838323353291,244,-1,-349.22559301610033
0.57241,0.8663,12.5606,0.2666512755396514,245,-1,-349.22559301610033
5.2515,0.4349,5.1932,0.6882041848700851,246,-1,-349.2255930159122
3.6375,0.5435,4.0853,0.5626494940202392,247,-1,-349.2255697452053
0.0061834,0.0535,5.5388,1.2747663551401869,248,-1,-349.22559301608135
14.088,0.4192,4.8286,0.6691316793893131,249,-1,-349.22559301610033
0.090627,0.016,4.1283,8.575,250,-1,-349.22559301610033
0.39362,0.4349,7.8242,0.3750287422395953,251,-1,-349.22559301610033
1.5972,0.0212,6.7868,4.599056603773585,252,-1,-349.22559301610033
2.2856,0.7413,8.1613,0.4374747065965196,253,-1,-349.22559301610033
0.13446,0.4339,5.4284,2.726204194514865,254,-1,-349.22559301610033
35.056,0.1196,6.9445,1.1070234113712374,255,-1,-349.22559301610033
6.0924,0.3022,6.5259,0.7461945731303772,256,-1,-349.22559301610033
2.2083,0.7087,38.3652,0.117256949343869,257,-1,-349.22559301610033
0.049275,0.0815,14.925,0.7963190184049079,258,-1,-349.22559301610033
7.2301,0.1454,5.2685,1.0880330123796425,259,-1,-349.22559301609607
1.1079,0.4657,18.3585,0.2535967360961992,260,-1,-349.22559301610033
4.2004,0.3125,5.6143,1.23712,261,-1,-349.2255930160998
9.9357,0.2986,5.4946,0.636972538513061,262,-1,-349.22559301610033
0.2892,0.4365,9.2407,0.370446735395189,263,-1,-349.22559301610033
0.59247,0.2356,4.902,0.620118845500849,264,-1,-349.2255926956145
0.26006,0.4379,4.1322,0.7015300296871431,265,-1,-349.2255039620047
1.6992,0.2893,6.096,0.7697891462150017,266,-1,-349.22559301610016
0.28749,0.7108,6.1987,0.4794597636465953,267,-1,-349.2255930161002
1.6642,0.6879,25.3196,0.1631051024858264,268,-1,-349.22559301610033
0.42428,0.2642,25.0504,0.2077971233913701,269,-1,-349.22559301610033
0.38739,0.6718,5.1281,0.4630842512652575,270,-1,-349.22559299742926
0.52638,0.7508,5.3771,0.5539424613745338,271,-1,-349.22559301541645
0.63166,0.089,4.8246,1.3168539325842696,272,-1,-349.2255929889949
0.35837,0.9671,5.7802,0.2947988832592286,273,-1,-349.22559301608334
2.1614,0.7742,5.1016,0.419659002841643,274,-1,-349.2255930059105
0.0052706,0.1374,6.4036,0.9934497816593888,275,-1,-349.22559301610033
1.6441,0.9468,5.8185,0.3013307984790874,276,-1,-349.2255930160924
2.9055,0.7831,5.6903,0.6012003575533137,277,-1,-349.2255930160956
1.3243,0.1992,6.2107,0.7424698795180723,278,-1,-349.2255930161003
0.052853,0.1515,11.7071,0.504950495049505,279,-1,-349.22559301610033
12.408,0.2192,10.9688,0.4434306569343065,280,-1,-349.22559301610033
0.27174,0.1175,5.5043,0.9506382978723404,281,-1,-349.22559301594237
7.359,0.0795,4.589,1.5018867924528303,282,-1,-349.2255930156386
